200011 深物业B 5分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/05/09	0935	6.62	6.62	6.62	6.62	0	0.00
2022/05/09	0940	6.62	6.62	6.62	6.62	5000	33100.00
2022/05/09	0945	6.62	6.62	6.62	6.62	0	0.00
2022/05/09	0950	6.62	6.69	6.62	6.69	500	3345.00
2022/05/09	0955	6.69	6.71	6.69	6.71	6000	40248.00
2022/05/09	1000	6.71	6.71	6.71	6.71	0	0.00
2022/05/09	1005	6.71	6.73	6.71	6.73	12600	84586.00
2022/05/09	1010	6.73	6.73	6.73	6.73	0	0.00
2022/05/09	1015	6.73	6.73	6.73	6.73	0	0.00
2022/05/09	1020	6.71	6.71	6.71	6.71	1200	8052.00
2022/05/09	1025	6.71	6.71	6.71	6.71	100	671.00
2022/05/09	1030	6.71	6.71	6.71	6.71	800	5368.00
2022/05/09	1035	6.73	6.73	6.71	6.72	2100	14110.00
2022/05/09	1040	6.72	6.72	6.72	6.72	800	5376.00
2022/05/09	1045	6.72	6.72	6.72	6.72	0	0.00
2022/05/09	1050	6.71	6.71	6.68	6.68	7400	49537.00
2022/05/09	1055	6.68	6.68	6.68	6.68	0	0.00
2022/05/09	1100	6.68	6.68	6.68	6.68	0	0.00
2022/05/09	1105	6.68	6.68	6.68	6.68	1000	6680.00
2022/05/09	1110	6.68	6.68	6.68	6.68	0	0.00
2022/05/09	1115	6.68	6.68	6.67	6.67	5000	33375.00
2022/05/09	1120	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1125	6.67	6.67	6.67	6.67	500	3335.00
2022/05/09	1130	6.67	6.67	6.67	6.67	500	3335.00
2022/05/09	1305	6.67	6.67	6.67	6.67	1300	8671.00
2022/05/09	1310	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1315	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1320	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1325	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1330	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1335	6.67	6.67	6.65	6.65	2000	13300.00
2022/05/09	1340	6.65	6.65	6.65	6.65	2800	18620.00
2022/05/09	1345	6.65	6.65	6.64	6.64	8000	53120.00
2022/05/09	1350	6.65	6.65	6.65	6.65	7200	47880.00
2022/05/09	1355	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1400	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1405	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1410	6.65	6.67	6.65	6.67	600	4002.00
2022/05/09	1415	6.67	6.67	6.67	6.67	0	0.00
2022/05/09	1420	6.65	6.65	6.65	6.65	5700	37905.00
2022/05/09	1425	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1430	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1435	6.65	6.65	6.65	6.65	0	0.00
2022/05/09	1440	6.65	6.65	6.65	6.65	1600	10640.00
2022/05/09	1445	6.65	6.65	6.65	6.65	1000	6650.00
2022/05/09	1450	6.65	6.65	6.65	6.65	400	2660.00
2022/05/09	1455	6.65	6.65	6.65	6.65	500	3325.00
2022/05/09	1500	6.67	6.67	6.67	6.67	1700	11339.00
2022/05/10	0935	6.67	6.67	6.60	6.60	5000	33081.00
2022/05/10	0940	6.60	6.60	6.60	6.60	7000	46206.00
2022/05/10	0945	6.60	6.60	6.60	6.60	0	0.00
2022/05/10	0950	6.60	6.61	6.60	6.61	100	661.00
2022/05/10	0955	6.61	6.61	6.61	6.61	0	0.00
2022/05/10	1000	6.61	6.61	6.61	6.61	0	0.00
2022/05/10	1005	6.61	6.64	6.61	6.64	600	3984.00
2022/05/10	1010	6.64	6.64	6.64	6.64	1500	9960.00
2022/05/10	1015	6.64	6.64	6.64	6.64	1500	9960.00
2022/05/10	1020	6.64	6.64	6.64	6.64	0	0.00
2022/05/10	1025	6.65	6.65	6.65	6.65	1200	7973.00
2022/05/10	1030	6.65	6.65	6.65	6.65	500	3325.00
2022/05/10	1035	6.65	6.65	6.65	6.65	400	2660.00
2022/05/10	1040	6.65	6.65	6.65	6.65	0	0.00
2022/05/10	1045	6.65	6.65	6.65	6.65	0	0.00
2022/05/10	1050	6.65	6.65	6.65	6.65	1500	9975.00
2022/05/10	1055	6.65	6.65	6.65	6.65	0	0.00
2022/05/10	1100	6.65	6.65	6.65	6.65	0	0.00
2022/05/10	1105	6.65	6.65	6.65	6.65	0	0.00
2022/05/10	1110	6.65	6.66	6.65	6.66	1000	6660.00
