200011 深物业B 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/02	8.87	8.94	8.87	8.92	340400	3035905.75
2018/01/03	8.97	8.97	8.91	8.94	180363	1613392.75
2018/01/04	8.90	8.97	8.90	8.91	99100	885050.00
2018/01/05	8.87	9.18	8.87	9.12	986036	8971388.00
2018/01/08	9.10	9.27	9.03	9.15	701875	6433682.00
2018/01/09	9.10	9.17	9.00	9.06	348790	3160519.50
2018/01/10	9.06	9.15	9.02	9.03	271810	2467671.25
2018/01/11	9.08	9.13	9.01	9.13	225196	2048523.50
2018/01/12	9.15	9.23	9.15	9.19	365750	3360015.00
2018/01/15	9.22	9.22	8.99	9.03	463662	4207334.00
2018/01/16	9.02	9.39	9.02	9.35	1373402	12803179.00
2018/01/17	9.32	9.37	9.19	9.35	508210	4719830.00
2018/01/18	9.34	9.35	9.25	9.29	236896	2200332.00
2018/01/19	9.29	9.31	9.22	9.28	205400	1904392.00
2018/01/22	9.22	9.26	9.16	9.22	295410	2720536.25
2018/01/23	9.22	9.31	9.20	9.28	202856	1878851.00
2018/01/24	9.23	9.30	9.17	9.18	192100	1770989.00
2018/01/25	9.17	9.27	9.16	9.25	237186	2187805.00
2018/01/26	9.18	9.32	9.13	9.27	379820	3517475.00
2018/01/29	9.29	9.29	9.07	9.12	301700	2757547.00
2018/01/30	9.09	9.18	9.09	9.11	168053	1533020.25
2018/01/31	9.05	9.18	9.02	9.07	392800	3567731.00
2018/02/01	9.07	9.13	8.94	9.01	294912	2667266.00
2018/02/02	9.00	9.08	8.94	9.01	118400	1068056.00
2018/02/05	8.92	9.06	8.92	8.98	135500	1213627.00
2018/02/06	8.88	8.97	8.52	8.68	654625	5704643.50
2018/02/07	8.80	8.80	8.49	8.49	278400	2402494.00
2018/02/08	8.51	8.68	8.51	8.60	103500	892740.00
2018/02/09	8.02	8.40	8.02	8.22	307510	2536104.00
2018/02/12	8.22	8.35	8.12	8.35	135600	1126415.00
2018/02/13	8.35	8.57	8.28	8.51	85325	726880.31
2018/02/14	8.56	8.58	8.45	8.58	120700	1031913.00
2018/02/22	8.60	8.66	8.60	8.64	60310	520670.41
2018/02/23	8.64	8.75	8.61	8.64	69500	601972.00
2018/02/26	8.66	8.68	8.51	8.67	74448	641075.81
2018/02/27	8.61	8.62	8.55	8.55	80300	688254.00
2018/02/28	8.52	8.52	8.46	8.48	92100	781781.00
2018/03/01	8.48	8.48	8.44	8.46	118500	1003323.00
2018/03/02	8.46	8.66	8.36	8.53	196210	1674017.00
2018/03/05	8.53	8.59	8.48	8.52	65112	554205.00
2018/03/06	8.49	8.82	8.39	8.75	578367	4963489.50
2018/03/07	8.75	8.75	8.59	8.65	411600	3553587.00
2018/03/08	8.54	8.63	8.53	8.54	333354	2854041.50
2018/03/09	8.52	8.63	8.52	8.57	173000	1478062.25
2018/03/12	8.53	8.63	8.53	8.59	182100	1562198.00
